Transaction ID,Customer ID,Product ID,Employee ID,Region ID,Quantity Sold,Discount,Order Date,Price,Total Sales
1,273,25,93,1,9,0.19,2023-01-01 00:00:00,159.53,1162.97
2,690,47,11,4,4,0.19,2023-01-01 01:00:00,489.29,1585.3
3,368,31,49,5,4,0.24,2023-01-01 02:00:00,290.56,883.3
4,989,4,94,4,8,0.16,2023-01-01 03:00:00,152.04,1021.71
5,716,50,64,4,1,0.07,2023-01-01 04:00:00,185.38,172.4
6,249,30,16,5,10,0.17,2023-01-01 05:00:00,63.04,523.23
7,985,50,84,4,17,0.02,2023-01-01 06:00:00,185.38,3088.43
8,19,34,43,5,14,0.07,2023-01-01 07:00:00,146.75,1910.68
9,226,47,47,5,7,0.3,2023-01-01 08:00:00,489.29,2397.52
10,104,22,54,2,10,0.15,2023-01-01 09:00:00,211.47,1797.5
11,827,12,19,1,3,0.21,2023-01-01 10:00:00,363.21,860.81
12,828,4,86,1,16,0.26,2023-01-01 11:00:00,152.04,1800.15
13,861,4,28,5,15,0.19,2023-01-01 12:00:00,152.04,1847.29
14,670,32,40,1,2,0.19,2023-01-01 13:00:00,213.36,345.64
15,272,18,31,5,11,0.01,2023-01-01 14:00:00,160.21,1744.69
16,317,37,54,2,18,0.03,2023-01-01 15:00:00,355.87,6213.49
17,55,5,18,3,7,0.29,2023-01-01 16:00:00,136.62,679.0
18,776,37,64,5,18,0.05,2023-01-01 17:00:00,355.87,6085.38
19,630,37,84,5,16,0.16,2023-01-01 18:00:00,355.87,4782.89
20,925,45,56,5,19,0.14,2023-01-01 19:00:00,216.82,3542.84
21,820,24,82,1,11,0.11,2023-01-01 20:00:00,398.82,3904.45
22,762,2,75,5,3,0.23,2023-01-01 21:00:00,185.03,427.42
23,660,39,35,4,17,0.22,2023-01-01 22:00:00,462.54,6133.28
24,702,37,36,5,5,0.27,2023-01-01 23:00:00,355.87,1298.93
25,22,39,1,1,16,0.25,2023-01-02 00:00:00,462.54,5550.48
26,147,32,97,3,11,0.14,2023-01-02 01:00:00,213.36,2018.39
27,712,4,92,1,15,0.21,2023-01-02 02:00:00,152.04,1801.67
28,70,26,49,5,19,0.06,2023-01-02 03:00:00,277.17,4950.26
29,518,49,89,5,3,0.14,2023-01-02 04:00:00,241.31,622.58
30,688,43,50,1,3,0.14,2023-01-02 05:00:00,427.02,1101.71
31,918,21,72,1,15,0.04,2023-01-02 06:00:00,383.66,5524.7
32,316,44,6,4,3,0.04,2023-01-02 07:00:00,168.57,485.48
33,706,26,8,2,14,0.09,2023-01-02 08:00:00,277.17,3531.15
